No,ID,Weight,Fat,Visibility,Category,Price,Security,StoreCode,OperationYear,Size,Area,Type,Sales
1,FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,G4S,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138
2,DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,Allied Universal,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228
3,FDN15,17.5,Low Fat,0.016760075,Meat,141.618,Prosegur,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27
4,FDX07,19.2,Regular,0,Fruits and Vegetables,182.095,Brinks,OUT010,1998,,Tier 3,Grocery Store,732.38
5,NCD19,8.93,Low Fat,0,Household,53.8614,Prosegur,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052
6,FDP36,10.395,Regular,0,Baking Goods,51.4008,AHS,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088
7,FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,Allied Universal,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528
8,FDP10,,Low Fat,0.127469857,Snack Foods,107.7622,Allied Universal,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.7636
9,FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,Brinks,OUT045,2002,,Tier 2,Supermarket Type1,1076.5986
10,FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,Epic,OUT017,2007,,Tier 2,Supermarket Type1,4710.535
11,FDY07,11.8,Low Fat,0,Fruits and Vegetables,45.5402,Allied Universal,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266
12,FDA03,18.5,Regular,0.045463773,Dairy,144.1102,Brinks,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153
13,FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,Brinks,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646
14,FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,Epic,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076
15,FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,AHS,OUT013,1987,High,Tier 3,Supermarket Type1,1977.426
16,FDP49,9,Regular,0.069088961,Breakfast,56.3614,G4S,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192
17,NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,AHS,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888
18,FDP49,9,Regular,0.069196376,Breakfast,54.3614,Epic,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982
19,DRI11,,Low Fat,0.034237682,Hard Drinks,113.2834,NSPS,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.668
20,FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,Brinks,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224
21,FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,Allied Universal,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086
22,FDW12,,Regular,0.035399923,Baking Goods,144.5444,Brinks,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.0432
23,NCB30,14.6,Low Fat,0.025698134,Household,196.5084,Epic,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672
